dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.599287,14.561223,0.000651,0.065120,3.256007,162.800343,0.002273
0.020000,4.599610,14.561223,0.000974,0.016153,-2.448379,-285.219283,0.001986
0.020000,4.600256,14.561224,0.001621,0.032322,0.808481,162.842996,0.001411
0.020000,4.601227,14.561225,0.002591,0.048526,0.810187,0.085279,0.000549
0.020000,4.607983,14.561224,0.009347,0.337797,14.463560,682.668653,6.282581
0.020000,4.622629,14.561204,0.023993,0.732302,19.725249,263.084485,6.281138
0.020000,4.640217,14.561153,0.041581,0.879401,7.354943,-618.515329,6.279399
0.020000,4.660741,14.561054,0.062106,1.026251,7.342526,-0.620819,6.277363
0.020000,4.684210,14.560890,0.085575,1.173461,7.360495,0.898448,6.275024
0.020000,4.710628,14.560640,0.111994,1.320935,7.373705,0.660479,6.272379
0.020000,4.739997,14.560279,0.141366,1.468579,7.382157,0.422583,6.269423
0.020000,4.772329,14.559781,0.173701,1.616780,7.410082,1.396240,6.266149
0.020000,4.807629,14.559116,0.209008,1.765313,7.426635,0.827666,6.262552
0.020000,4.845900,14.558251,0.247288,1.914041,7.436379,0.487188,6.258624
0.020000,4.887147,14.557150,0.288551,2.063103,7.453145,0.838316,6.254359
0.020000,4.931385,14.555773,0.332810,2.212978,7.493731,2.029309,6.249747
0.020000,4.978619,14.554075,0.380074,2.363197,7.510944,0.860661,6.244780
0.020000,5.028859,14.552011,0.430357,2.514152,7.547765,1.841017,6.239448
0.020000,5.082111,14.549529,0.483667,2.665474,7.566065,0.915033,6.233741
0.020000,5.138375,14.546573,0.540008,2.817076,7.580111,0.702281,6.227649
0.020000,5.197675,14.543083,0.599410,2.970113,7.651876,3.588246,6.221157
0.020000,5.260004,14.538997,0.661873,3.123136,7.651121,-0.037726,6.214256
0.020000,5.325375,14.534243,0.727417,3.277195,7.702958,2.591838,6.206932
0.020000,5.393798,14.528749,0.796060,3.432166,7.748560,2.280108,6.199170
0.020000,5.465278,14.522434,0.867819,3.587924,7.787906,1.967276,6.190955
0.020000,5.539816,14.515214,0.942706,3.744344,7.821009,1.655153,6.182273
0.020000,5.617416,14.506998,1.020739,3.901682,7.866875,2.293300,6.173108
0.020000,5.698084,14.497689,1.101942,4.060156,7.923703,2.841418,6.163442
0.020000,5.781819,14.487182,1.186334,4.219576,7.971028,2.366223,6.153259
0.020000,5.868615,14.475369,1.273930,4.379814,8.011868,2.042018,6.142542
0.020000,5.958466,14.462132,1.364752,4.541077,8.063180,2.565620,6.131271
0.020000,6.051367,14.447347,1.458821,4.703485,8.120363,2.859140,6.119429
0.020000,6.147305,14.430883,1.556162,4.867037,8.177607,2.862180,6.106997
0.020000,6.246258,14.412601,1.656789,5.031357,8.216007,1.920006,6.093958
0.020000,6.348202,14.392356,1.760724,5.196746,8.269447,2.671998,6.080293
0.020000,6.453109,14.369992,1.867989,5.363236,8.324513,2.753301,6.065984
0.020000,6.560941,14.345350,1.978600,5.530568,8.366607,2.104722,6.051016
0.020000,6.671645,14.318262,2.092571,5.698523,8.397740,1.556641,6.035374
0.020000,6.785178,14.288551,2.209927,5.867814,8.464538,3.339913,6.019043
0.020000,6.901463,14.256038,2.330672,6.037228,8.470703,0.308229,6.002013
0.020000,7.020423,14.220536,2.454816,6.207221,8.499634,1.446530,5.984276
0.020000,7.141965,14.181855,2.582365,6.377438,8.510845,0.560578,5.965827
0.020000,7.265989,14.139799,2.713325,6.548016,8.528925,0.903999,5.946663
0.020000,7.392366,14.094177,2.847685,6.717987,8.498524,-1.520061,5.926790
0.020000,7.520964,14.044791,2.985439,6.887731,8.487209,-0.565728,5.906216
0.020000,7.651629,13.991449,3.126573,7.056692,8.448052,-1.957887,5.884954
0.020000,7.784188,13.933964,3.271060,7.224327,8.381788,-3.313195,5.863027
0.020000,7.918449,13.872156,3.418864,7.390228,8.295010,-4.338862,5.840464
0.020000,8.054210,13.805855,3.569951,7.554308,8.203998,-4.550633,5.817301
0.020000,8.191249,13.734904,3.724267,7.715837,8.076446,-6.377589,5.793580
0.020000,8.329329,13.659162,3.881757,7.874483,7.932311,-7.206728,5.769356
0.020000,8.468200,13.578509,4.042350,8.029654,7.758538,-8.688671,5.744687
0.020000,8.607602,13.492843,4.205970,8.181007,7.567680,-9.542909,5.719643
0.020000,8.747269,13.402089,4.372533,8.328129,7.356075,-10.580263,5.694298
0.020000,8.886930,13.306194,4.541946,8.470681,7.127626,-11.422408,5.668735
0.020000,9.026316,13.205136,4.714112,8.608296,6.880739,-12.344376,5.643040
0.020000,9.165161,13.098917,4.888928,8.740789,6.624663,-12.803793,5.617305
0.020000,9.303209,12.987566,5.066287,8.867973,6.359175,-13.274402,5.591625
0.020000,9.440217,12.871138,5.246084,8.989822,6.092450,-13.336255,5.566093
0.020000,9.575959,12.749713,5.428210,9.106285,5.823157,-13.464635,5.540807
0.020000,9.710227,12.623392,5.612560,9.217512,5.561380,-13.088877,5.515859
0.020000,9.842840,12.492296,5.799033,9.323656,5.307166,-12.710700,5.491339
0.020000,9.973638,12.356561,5.987533,9.424981,5.066260,-12.045270,5.467333
0.020000,10.102491,12.216337,6.177969,9.521799,4.840915,-11.267259,5.443922
0.020000,10.229296,12.071784,6.370257,9.614443,4.632210,-10.435245,5.421179
0.020000,10.353976,11.923068,6.564323,9.703294,4.442512,-9.484936,5.399173
0.020000,10.476482,11.770359,6.760098,9.788758,4.273195,-8.465812,5.377962
0.020000,10.596793,11.613829,6.957523,9.871250,4.124598,-7.429882,5.357601
0.020000,10.714912,11.453647,7.156546,9.951122,3.993626,-6.548566,5.338135
0.020000,10.830863,11.289984,7.357121,10.028743,3.881063,-5.628144,5.319605
0.020000,10.944694,11.123004,7.559209,10.104434,3.784514,-4.827471,5.302045
0.020000,11.056473,10.952868,7.762780,10.178532,3.704931,-3.979146,5.285483
0.020000,11.166287,10.779731,7.967805,10.251251,3.635911,-3.450994,5.269945
0.020000,11.274236,10.603745,8.174261,10.322807,3.577834,-2.903878,5.255449
0.020000,11.380438,10.425056,8.382129,10.393374,3.528330,-2.475171,5.242016
0.020000,11.485024,10.243805,8.591389,10.463019,3.482257,-2.303669,5.229659
0.020000,11.588135,10.060131,8.802026,10.531870,3.442558,-1.984923,5.218394
0.020000,11.689926,9.874169,9.014025,10.599920,3.402479,-2.003951,5.208234
0.020000,11.790243,9.686655,9.226687,10.633091,1.658542,-87.196862,5.199222
0.020000,11.888373,9.499464,9.438039,10.567608,-3.274110,-246.632630,5.191429
0.020000,11.983679,9.314450,9.646158,10.405938,-8.083490,-240.468997,5.184882
0.020000,12.076117,9.132353,9.850373,10.210778,-9.758023,-83.726637,5.179545
0.020000,12.165940,8.953301,10.050693,10.015981,-9.739864,0.907956,5.175355
0.020000,12.253405,8.777354,10.247181,9.824407,-9.578690,8.058708,5.172256
0.020000,12.338746,8.604564,10.439896,9.635778,-9.431469,7.361024,5.170195
0.020000,12.422175,8.434979,10.628893,9.449827,-9.297509,6.698033,5.169124
0.020000,12.503884,8.268638,10.814219,9.266309,-9.175913,6.079796,5.169001
0.020000,12.584049,8.105578,10.995919,9.085010,-9.064964,5.547443,5.169785
0.020000,12.662828,7.945831,11.174034,8.905746,-8.963172,5.089602,5.171440
0.020000,12.740361,7.789428,11.348601,8.728337,-8.870487,4.634234,5.173935
0.020000,12.816779,7.636394,11.519654,8.552637,-8.785004,4.274153,5.177237
0.020000,12.892193,7.486752,11.687225,8.378542,-8.704706,4.014913,5.181319
0.020000,12.966707,7.340524,11.851343,8.205911,-8.631568,3.656875,5.186154
0.020000,13.040410,7.197730,12.012036,8.034678,-8.561655,3.495673,5.191719
0.020000,13.113379,7.058384,12.169332,7.864760,-8.495898,3.287834,5.197988
0.020000,13.185684,6.922501,12.323255,7.696154,-8.430279,3.280974,5.204940
0.020000,13.257383,6.790092,12.473830,7.528756,-8.369933,3.017307,5.212552
0.020000,13.328524,6.661165,12.621081,7.362576,-8.309009,3.046182,5.220803
0.020000,13.399148,6.535727,12.765034,7.197655,-8.246053,3.147823,5.229670
0.020000,13.469285,6.413780,12.905713,7.033909,-8.187280,2.938635,5.239133
0.020000,13.538961,6.295324,13.043141,6.871427,-8.124101,3.158922,5.249170
0.020000,13.608191,6.180354,13.177345,6.710214,-8.060633,3.173404,5.259756
0.020000,13.676986,6.068863,13.308353,6.550374,-7.992031,3.430114,5.270869
0.020000,13.745348,5.960840,13.436190,6.391873,-7.925057,3.348681,5.282485
0.020000,13.813275,5.856269,13.560887,6.234817,-7.852773,3.614232,5.294576
0.020000,13.880759,5.755130,13.682473,6.079301,-7.775785,3.849375,5.307118
0.020000,13.947785,5.657399,13.800980,5.925360,-7.697066,3.935983,5.320081
0.020000,14.014336,5.563047,13.916441,5.773059,-7.615052,4.100701,5.333435
0.020000,14.080390,5.472041,14.028892,5.622533,-7.526293,4.437909,5.347151
0.020000,14.145920,5.384343,14.138368,5.473825,-7.435428,4.543257,5.361194
