dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.601844,13.436226,0.000651,0.065120,3.256007,162.800343,0.002273
0.020000,4.601844,13.436226,0.003256,0.195360,6.512014,162.800343,0.001986
0.020000,4.601844,13.436226,0.008466,0.325601,6.512014,-0.000000,0.001411
0.020000,4.601844,13.436226,0.016280,0.455841,6.512014,0.000000,0.000549
0.020000,4.607303,13.436224,0.026699,0.586081,6.512014,-0.000000,6.282581
0.020000,4.620325,13.436207,0.039723,0.716322,6.512014,0.000000,6.281138
0.020000,4.635957,13.436161,0.055352,0.846562,6.512014,-0.000000,6.279399
0.020000,4.654191,13.436074,0.073586,0.976802,6.512014,0.000000,6.277363
0.020000,4.675029,13.435928,0.094424,1.107042,6.512014,-0.000000,6.275024
0.020000,4.698471,13.435706,0.117867,1.237283,6.512014,0.000000,6.272379
0.020000,4.724515,13.435386,0.143916,1.367523,6.512014,0.000000,6.269423
0.020000,4.753164,13.434944,0.172568,1.497763,6.512014,0.000000,6.266149
0.020000,4.784418,13.434356,0.203826,1.628003,6.512014,0.000000,6.262552
0.020000,4.818271,13.433591,0.237689,1.758244,6.512014,-0.000000,6.258624
0.020000,4.854722,13.432618,0.274156,1.888484,6.512014,0.000000,6.254359
0.020000,4.893774,13.431402,0.313228,2.018724,6.512014,-0.000000,6.249747
0.020000,4.935424,13.429905,0.354905,2.148965,6.512014,0.000000,6.244780
0.020000,4.979671,13.428087,0.399186,2.279205,6.512014,0.000000,6.239448
0.020000,5.026509,13.425903,0.446073,2.409445,6.512014,0.000000,6.233741
0.020000,5.075928,13.423307,0.495564,2.539685,6.512014,0.000000,6.227649
0.020000,5.127938,13.420247,0.547660,2.669926,6.512014,0.000000,6.221157
0.020000,5.182520,13.416668,0.602361,2.800166,6.512014,0.000000,6.214256
0.020000,5.239673,13.412513,0.659667,2.930406,6.512014,-0.000000,6.206932
0.020000,5.299391,13.407717,0.719578,3.060646,6.512014,0.000000,6.199170
0.020000,5.361666,13.402216,0.782093,3.190887,6.512014,0.000000,6.190955
0.020000,5.426482,13.395938,0.847213,3.321127,6.512014,-0.000000,6.182273
0.020000,5.493829,13.388807,0.914938,3.451367,6.512014,0.000000,6.173108
0.020000,5.563695,13.380744,0.985268,3.581608,6.512014,0.000000,6.163442
0.020000,5.636063,13.371664,1.058202,3.711848,6.512014,-0.000000,6.153259
0.020000,5.710912,13.361477,1.133742,3.842088,6.512014,0.000000,6.142542
0.020000,5.788220,13.350088,1.211886,3.972328,6.512014,0.000000,6.131271
0.020000,5.867964,13.337398,1.292635,4.102569,6.512014,0.000000,6.119429
0.020000,5.950118,13.323299,1.375988,4.232809,6.512014,-0.000000,6.106997
0.020000,6.034645,13.307683,1.461947,4.363049,6.512014,-0.000000,6.093958
0.020000,6.121510,13.290432,1.550510,4.493289,6.512014,0.000000,6.080293
0.020000,6.210675,13.271425,1.641679,4.623530,6.512014,0.000000,6.065984
0.020000,6.302091,13.250534,1.735452,4.753770,6.512014,-0.000000,6.051016
0.020000,6.395702,13.227629,1.831829,4.884010,6.512014,0.000000,6.035374
0.020000,6.491462,13.202569,1.930812,5.014251,6.512014,0.000000,6.019043
0.020000,6.589296,13.175215,2.032399,5.144491,6.512014,-0.000000,6.002013
0.020000,6.689135,13.145420,2.136592,5.274731,6.512014,0.000000,5.984276
0.020000,6.790900,13.113034,2.243389,5.404971,6.512014,-0.000000,5.965827
0.020000,6.894507,13.077902,2.352791,5.535212,6.512014,0.000000,5.946663
0.020000,6.999856,13.039871,2.464797,5.665452,6.512014,0.000000,5.926790
0.020000,7.106846,12.998784,2.579409,5.795692,6.512014,-0.000000,5.906216
0.020000,7.215367,12.954482,2.696625,5.925932,6.512014,0.000000,5.884954
0.020000,7.325295,12.906811,2.816446,6.056173,6.512014,-0.000000,5.863027
0.020000,7.436499,12.855618,2.938872,6.186413,6.512014,0.000000,5.840464
0.020000,7.548845,12.800753,3.063902,6.316653,6.512014,0.000000,5.817301
0.020000,7.662187,12.742071,3.191538,6.446894,6.512014,0.000000,5.793580
0.020000,7.776374,12.679435,3.321778,6.577134,6.512014,0.000000,5.769356
0.020000,7.891247,12.612719,3.454623,6.707374,6.512014,-0.000000,5.744687
0.020000,8.006645,12.541804,3.590073,6.837614,6.512014,0.000000,5.719643
0.020000,8.122403,12.466584,3.728128,6.967855,6.512014,-0.000000,5.694298
0.020000,8.238357,12.386968,3.868787,7.098095,6.512014,0.000000,5.668735
0.020000,8.354340,12.302876,4.012052,7.228335,6.512014,0.000000,5.643040
0.020000,8.470191,12.214247,4.157921,7.358575,6.512014,0.000000,5.617305
0.020000,8.585751,12.121033,4.306395,7.488816,6.512014,0.000000,5.591625
0.020000,8.700872,12.023203,4.457473,7.619056,6.512014,-0.000000,5.566093
0.020000,8.815411,11.920742,4.611157,7.749296,6.512014,0.000000,5.540807
0.020000,8.929237,11.813652,4.767445,7.879537,6.512014,0.000000,5.515859
0.020000,9.042231,11.701947,4.926338,8.009777,6.512014,-0.000000,5.491339
0.020000,9.154289,11.585657,5.087836,8.140017,6.512014,0.000000,5.467333
0.020000,9.265321,11.464825,5.251939,8.270257,6.512014,-0.000000,5.443922
