dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.604401,12.311229,0.000651,0.065120,3.256007,162.800343,0.002273
0.020000,4.604078,12.311228,0.000974,0.016153,-2.448379,-285.219283,0.001986
0.020000,4.603431,12.311227,0.001621,0.032322,0.808481,162.842996,0.001411
0.020000,4.602461,12.311226,0.002591,0.048526,0.810187,0.085279,0.000549
0.020000,4.606624,12.311224,0.006754,0.208158,7.981595,358.570407,6.282581
0.020000,4.618022,12.311209,0.018153,0.569908,18.087533,505.296932,6.281138
0.020000,4.631698,12.311169,0.031828,0.683784,5.693773,-619.688002,6.279399
0.020000,4.647640,12.311093,0.047771,0.797135,5.667541,-1.311635,6.277363
0.020000,4.665847,12.310965,0.065978,0.910376,5.662074,-0.273314,6.275024
0.020000,4.686314,12.310771,0.086446,1.023376,5.649982,-0.604604,6.272379
0.020000,4.709032,12.310492,0.109166,1.136001,5.631242,-0.937019,6.269423
0.020000,4.733999,12.310108,0.134136,1.248491,5.624532,-0.335519,6.266149
0.020000,4.761207,12.309595,0.161348,1.360610,5.605909,-0.931149,6.262552
0.020000,4.790643,12.308930,0.190792,1.472188,5.578903,-1.350297,6.258624
0.020000,4.822297,12.308085,0.222457,1.583270,5.554124,-1.238918,6.254359
0.020000,4.856164,12.307030,0.256340,1.694156,5.544308,-0.490835,6.249747
0.020000,4.892229,12.305735,0.292429,1.804420,5.513175,-1.556634,6.244780
0.020000,4.930482,12.304163,0.330714,1.914292,5.493591,-0.979195,6.239448
0.020000,4.970907,12.302278,0.371183,2.023420,5.456398,-1.859664,6.233741
0.020000,5.013481,12.300042,0.413816,2.131671,5.412558,-2.191968,6.227649
0.020000,5.058201,12.297410,0.458613,2.239846,5.408783,-0.188786,6.221157
0.020000,5.105036,12.294340,0.505549,2.346779,5.346611,-3.108569,6.214256
0.020000,5.153971,12.290782,0.554613,2.453189,5.320545,-1.303321,6.206932
0.020000,5.204985,12.286685,0.605791,2.558912,5.286114,-1.721562,6.199170
0.020000,5.258054,12.281997,0.659066,2.663781,5.243471,-2.132148,6.190955
0.020000,5.313149,12.276661,0.714419,2.767638,5.192857,-2.530706,6.182273
0.020000,5.370242,12.270616,0.771831,2.870609,5.148520,-2.216820,6.173108
0.020000,5.429306,12.263800,0.831287,2.972792,5.109181,-1.966980,6.163442
0.020000,5.490307,12.256146,0.892767,3.073994,5.060087,-2.454690,6.153259
0.020000,5.553209,12.247585,0.956249,3.174074,5.004008,-2.803920,6.142542
0.020000,5.617973,12.238045,1.021712,3.273150,4.953783,-2.511261,6.131271
0.020000,5.684560,12.227448,1.089137,3.371281,4.906557,-2.361313,6.119429
0.020000,5.752930,12.215715,1.158506,3.468458,4.858853,-2.385181,6.106997
0.020000,5.823032,12.202764,1.229795,3.564423,4.798243,-3.030534,6.093958
0.020000,5.894819,12.188508,1.302983,3.659423,4.750015,-2.411384,6.080293
0.020000,5.968240,12.172858,1.378054,3.753539,4.705783,-2.211615,6.065984
0.020000,6.043240,12.155719,1.454988,3.846677,4.656883,-2.444962,6.051016
0.020000,6.119759,12.136996,1.533764,3.938810,4.606698,-2.509291,6.035374
0.020000,6.197745,12.116588,1.614376,4.030597,4.589330,-0.868389,6.019043
0.020000,6.277129,12.094393,1.696804,4.121410,4.540655,-2.433747,6.002013
0.020000,6.357848,12.070304,1.781040,4.211825,4.520753,-0.995092,5.984276
0.020000,6.439835,12.044213,1.867079,4.301916,4.504514,-0.811974,5.965827
0.020000,6.523025,12.016005,1.954922,4.392145,4.511489,0.348794,5.946663
0.020000,6.607345,11.985566,2.044568,4.482298,4.507611,-0.193910,5.926790
0.020000,6.692728,11.952777,2.136030,4.573125,4.541382,1.688522,5.906216
0.020000,6.779105,11.917515,2.229326,4.664814,4.584421,2.151979,5.884954
0.020000,6.866402,11.879659,2.324479,4.757621,4.640350,2.796435,5.863027
0.020000,6.954549,11.839080,2.421518,4.851945,4.716233,3.794169,5.840464
0.020000,7.043480,11.795650,2.520487,4.948443,4.824883,5.432472,5.817301
0.020000,7.133125,11.749237,2.621434,5.047375,4.946630,6.087382,5.793580
0.020000,7.223418,11.699708,2.724420,5.149282,5.095325,7.434727,5.769356
0.020000,7.314294,11.646929,2.829510,5.254526,5.262185,8.343029,5.744687
0.020000,7.405688,11.590764,2.936782,5.363608,5.454090,9.595237,5.719643
0.020000,7.497538,11.531080,3.046321,5.476930,5.666148,10.602871,5.694298
0.020000,7.589784,11.467741,3.158219,5.594875,5.897246,11.554917,5.668735
0.020000,7.682364,11.400616,3.272573,5.717706,6.141518,12.213620,5.643040
0.020000,7.775220,11.329577,3.389486,5.845691,6.399274,12.887797,5.617305
0.020000,7.868294,11.254500,3.509066,5.978967,6.663795,13.226017,5.591625
0.020000,7.961527,11.175268,3.631419,6.117637,6.933474,13.483974,5.566093
0.020000,8.054863,11.091772,3.756651,6.261639,7.200120,13.332275,5.540807
0.020000,8.148247,11.003911,3.884869,6.410908,7.463438,13.165928,5.515859
0.020000,8.241623,10.911598,4.016174,6.565244,7.716804,12.668289,5.491339
0.020000,8.334941,10.814753,4.150663,6.724409,7.958281,12.073863,5.467333
0.020000,8.428151,10.713312,4.288425,6.888100,8.184550,11.313427,5.443922
0.020000,8.521209,10.607224,4.429544,7.055952,8.392590,10.402008,5.421179
0.020000,8.614075,10.496448,4.574095,7.227583,8.581558,9.448402,5.399173
0.020000,8.706715,10.380962,4.722147,7.402608,8.751204,8.482305,5.377962
0.020000,8.799105,10.260751,4.873760,7.580642,8.901748,7.527216,5.357601
0.020000,8.891227,10.135817,5.028986,7.761280,9.031851,6.505154,5.338135
0.020000,8.983073,10.006171,5.187869,7.944160,9.144039,5.609378,5.319605
0.020000,9.074647,9.871835,5.350448,8.128944,9.239177,4.756891,5.302045
0.020000,9.165963,9.732840,5.516755,8.315372,9.321421,4.112229,5.285483
0.020000,9.257047,9.589226,5.686819,8.503161,9.389418,3.399839,5.269945
0.020000,9.347941,9.441039,5.860661,8.692111,9.447513,2.904748,5.255449
0.020000,9.438698,9.288331,6.038302,8.882071,9.498023,2.525504,5.242016
0.020000,9.529386,9.131160,6.219760,9.072889,9.540873,2.142464,5.229659
0.020000,9.620087,8.969586,6.405051,9.264547,9.582899,2.101337,5.218394
0.020000,9.710901,8.803674,6.594191,9.456997,9.622531,1.981574,5.208234
0.020000,9.801651,8.634039,6.786576,9.619242,8.112209,-75.516068,5.199222
0.020000,9.891638,8.462378,6.980392,9.690831,3.579454,-226.637750,5.191429
0.020000,9.980197,8.290457,7.173782,9.669481,-1.067466,-232.346008,5.184882
0.020000,10.067198,8.119069,7.365988,9.610313,-2.958441,-94.548782,5.179545
0.020000,10.152794,7.948442,7.556881,9.544651,-3.283083,-16.232064,5.175355
0.020000,10.237154,7.778739,7.746396,9.475745,-3.445317,-8.111713,5.172256
0.020000,10.320441,7.610107,7.934474,9.403896,-3.592406,-7.354473,5.170195
