dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001087,1.124999,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,0.000940,1.125000,0.000802,0.007355,-2.906885,-309.075002,6.282350
0.020000,0.000646,1.125000,0.001096,0.014715,0.368019,163.745215,6.282611
0.020000,0.000204,1.125000,0.001538,0.022087,0.368598,0.028925,6.283004
0.020000,0.006468,1.125001,0.007802,0.313219,14.556596,709.399880,0.000343
0.020000,0.018826,1.125009,0.020161,0.617904,15.234261,33.883269,0.000999
0.020000,0.033658,1.125030,0.034992,0.741594,6.184489,-452.488615,0.001788
0.020000,0.050958,1.125069,0.052292,0.864987,6.169660,-0.741410,0.002711
0.020000,0.070725,1.125133,0.072059,0.988349,6.168077,-0.079148,0.003769
0.020000,0.092957,1.125230,0.094292,1.111620,6.163561,-0.225849,0.004964
0.020000,0.117656,1.125369,0.118991,1.234982,6.168100,0.226977,0.006296
0.020000,0.144817,1.125560,0.146153,1.358076,6.154696,-0.670193,0.007767
0.020000,0.174438,1.125814,0.175775,1.481117,6.152050,-0.132310,0.009380
0.020000,0.206516,1.126143,0.207854,1.603964,6.142377,-0.483631,0.011135
0.020000,0.241052,1.126560,0.242393,1.726919,6.147745,0.268367,0.013036
0.020000,0.278039,1.127080,0.279384,1.849560,6.132022,-0.786152,0.015084
0.020000,0.317475,1.127719,0.318825,1.972048,6.124422,-0.379988,0.017282
0.020000,0.359359,1.128492,0.360716,2.094570,6.126098,0.083797,0.019633
0.020000,0.403684,1.129418,0.405051,2.216721,6.107564,-0.926676,0.022140
0.020000,0.450446,1.130515,0.451825,2.338722,6.100035,-0.376488,0.024806
0.020000,0.499640,1.131805,0.501036,2.460563,6.092070,-0.398206,0.027634
0.020000,0.551264,1.133310,0.552682,2.582290,6.086317,-0.287688,0.030629
0.020000,0.605309,1.135051,0.606756,2.703670,6.069035,-0.864078,0.033793
0.020000,0.661770,1.137054,0.663252,2.824828,6.057853,-0.559088,0.037132
0.020000,0.720641,1.139344,0.722167,2.945762,6.046735,-0.555904,0.040649
0.020000,0.781917,1.141950,0.783498,3.066548,6.039313,-0.371119,0.044349
0.020000,0.845584,1.144899,0.847234,3.186773,6.011230,-1.404137,0.048238
0.020000,0.911641,1.148223,0.913374,3.307014,6.012046,0.040803,0.052320
0.020000,0.980074,1.151953,0.981909,3.426753,5.986959,-1.254354,0.056601
0.020000,1.050875,1.156124,1.052832,3.546165,5.970599,-0.818019,0.061088
0.020000,1.124031,1.160771,1.126137,3.665214,5.952419,-0.908994,0.065787
0.020000,1.199534,1.165931,1.201815,3.783933,5.935973,-0.822289,0.070703
0.020000,1.277371,1.171644,1.279861,3.902299,5.918293,-0.884008,0.075846
0.020000,1.357525,1.177951,1.360264,4.020110,5.890574,-1.385939,0.081221
0.020000,1.439983,1.184896,1.443014,4.137503,5.869651,-1.046146,0.086837
0.020000,1.524731,1.192524,1.528104,4.254502,5.849922,-0.986461,0.092703
