dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001087,-1.124999,0.000655,0.065492,3.274615,163.730761,6.282219
0.020000,-0.000940,-1.125000,0.000802,0.007355,-2.906885,-309.075002,6.282350
0.020000,-0.000646,-1.125000,0.001096,0.014715,0.368019,163.745215,6.282611
0.020000,-0.000204,-1.125000,0.001538,0.022087,0.368598,0.028925,6.283004
0.020000,0.007240,-1.124999,0.008982,0.372191,17.505189,856.829542,0.000343
0.020000,0.021074,-1.124989,0.022816,0.691719,15.976397,-76.439585,0.000999
0.020000,0.037682,-1.124966,0.039424,0.830388,6.933453,-452.147185,0.001788
0.020000,0.057059,-1.124923,0.058801,0.968837,6.922443,-0.550512,0.002711
0.020000,0.079206,-1.124851,0.080948,1.107381,6.927228,0.239263,0.003769
0.020000,0.104125,-1.124742,0.105868,1.245975,6.929713,0.124227,0.004964
0.020000,0.131822,-1.124586,0.133565,1.384843,6.943360,0.682346,0.006296
0.020000,0.162293,-1.124372,0.164037,1.523601,6.937920,-0.272001,0.007767
0.020000,0.195542,-1.124087,0.197287,1.662513,6.945594,0.383721,0.009380
0.020000,0.231569,-1.123717,0.233316,1.801442,6.946465,0.043535,0.011135
0.020000,0.270381,-1.123248,0.272131,1.940749,6.965348,0.944135,0.013036
0.020000,0.311977,-1.122664,0.313730,2.079983,6.961690,-0.182873,0.015084
0.020000,0.356358,-1.121945,0.358117,2.219350,6.968340,0.332461,0.017282
0.020000,0.403532,-1.121075,0.405299,2.359083,6.986669,0.916484,0.019633
0.020000,0.453496,-1.120031,0.455274,2.498754,6.983521,-0.157416,0.022140
0.020000,0.506254,-1.118792,0.508047,2.638635,6.994079,0.527915,0.024806
0.020000,0.561810,-1.117335,0.563622,2.778746,7.005530,0.572563,0.027634
0.020000,0.620168,-1.115635,0.622005,2.919164,7.020924,0.769692,0.030629
0.020000,0.681330,-1.113664,0.683198,3.059660,7.024784,0.193011,0.033793
0.020000,0.745298,-1.111395,0.747206,3.200402,7.037090,0.615293,0.037132
0.020000,0.812075,-1.108797,0.814035,3.341424,7.051103,0.700628,0.040649
0.020000,0.881669,-1.105838,0.883692,3.482844,7.071030,0.996362,0.044349
0.020000,0.954076,-1.102484,0.956176,3.624230,7.069268,-0.088099,0.048238
0.020000,1.029307,-1.098698,1.031502,3.766274,7.102225,1.647837,0.052320
0.020000,1.107359,-1.094443,1.109670,3.908428,7.107682,0.272859,0.056601
0.020000,1.188238,-1.089679,1.190689,4.050930,7.125111,0.871422,0.061088
0.020000,1.271945,-1.084362,1.274565,4.193782,7.142617,0.875302,0.065787
0.020000,1.358484,-1.078447,1.361306,4.337070,7.164374,1.087849,0.070703
0.020000,1.447860,-1.071887,1.450922,4.480812,7.187109,1.136762,0.075846
0.020000,1.540072,-1.064631,1.543419,4.624828,7.200800,0.684567,0.081221
0.020000,1.635122,-1.056626,1.638805,4.769326,7.224892,1.204574,0.086837
